cage_number,treatment,plant_species,visitation_evenness,pollinator_sharing,no_links,selectivity,visitation_rate,scaled_seed_production
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,-0.616698587
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
1,Epo_Epl,Fagopyrum_esculentum,0.215874382,0.725623583,4,0.387496901,0.011677889,1.620993363
